restaurant,url,dumpling,address,dining
AFURI IZAKAYA,afuri.us,"Caramelized onion broth, mushroom medley, sweet potato, ginger, scallion",923 SE 7th Ave. Portland OR 97214,Take Out | Postmates | GrubHub | DoorDash | UberEats
AFURI IZAKAYA,afuri.us,"Caramelized onion broth, mushroom medley, sweet potato, ginger, scallion","12555 SW 1ST ST. Beaverton, OR, 97005",Take Out | Postmates | GrubHub | DoorDash | UberEats
AFURI ramen + dumpling,afuriramen.com,"Caramelized onion broth, mushroom medley, sweet potato, ginger, scallion",50 SW 3rd. Ave. Portland 97204,Dine In | Caviar | DoorDash | UberEats
Arden,ardenpdx.com,"Truffled potato leek pierogi, chive crème fraîche, hot sauce, burgundy black truffle","417 NW 10th Ave Portland , OR 97209",Dine In & Take Out at ardenpdx.com
Boke Bowl,bokebowl.com,Sichuan Chile Crunch Duck Dumplings w/ Black Vinegar,"1028 SE Water Ave Portland, 97214",Dine In & Take Out | Order Online
Chin’s Kitchen,chinskitchenpdx.com,NA,"4126 NE BROADWAY ST, PORTLAND OR 97232",Take Out | Postmates | GrubHub | QMenu
Chinese Delicacy,chinesedelicacypdx.wixsite.com,NA,"6411 SE 82nd Ave, Portland, OR 97266",Dine In| Take Out | Postmates | GrubHub
Danwei Canting,danweicanting.com,"Cattail Creek Lamb, Garlic, Ginger, Scallions and Cumin. Hand folded, steamed, then seared until crispy. Served with a Chinese Black Vinegar and Chili sauce.","803 SE Stark Street Portland, OR 97214",Dine In & Take Out | Caviar | DoorDash
Ecliptic Brewing,eclipticbrewing.com,"Kopytka with cured pork belly, mushrooms and smoky paprika sauce: Eastern European potato dumplings served with pork belly, cremini mushrooms, leeks, and a smoked paprika cream sauce.",825 N Cook St. Portland OR 97227,Dine In
Ecliptic Brewing Moon Room,eclipticbrewing.com,"Pork & Squid Ink Dumplings:Lemongrass curry, pulled pork collar, sesame seeds & scallions, served with a pickled salad of: green papaya, radish, seaweed, cucumber and Fresno chili",930 SE Oak St. Portland OR,Dine In
